BLOCKID|DISTRICT
480019507003018|003
480019507003019|003
480019507003020|003
480019507003021|003
480019507003022|003
480019507003023|003
480019507003024|003
480019507003025|003
480019507003026|003
480019507003027|003
480019507003028|003
480019507003029|003
480019507003030|003
480019507003031|003
480019507003032|003
480019507003033|003
480019507003034|003
480019507003035|003
480019507003036|003
480019507003037|003
480019507003038|003
480019507003039|003
480019507003040|003
480019507003041|003
480019507003042|003
480019507003043|003
480019507003044|003
480019507003045|003
480019507003046|003
480019507003047|003
480019507003048|003
480019507003049|003
480019507003050|003
480019507003051|003
480019507003052|003
480019507003053|003
480019507003054|003
480019507003055|003
480019507003056|003
480019507003057|003
480019507003058|003
480019507003059|003
480019507003060|003
480019507003061|003
480019507003062|003
480019507003063|003
480019507003064|003
480019507003065|003
480019507003066|003
480019507003067|003
480019507003068|003
480019507003069|003
480019507003070|003
480019507003071|003
480019507003072|003
480019507003073|003
480019507003074|003
480019507003075|003
480019507003076|003
480019507003077|003
480019507003078|003
480019507003079|003
480019507003080|003
480019507003081|003
480019507003082|003
480019507003083|003
480019507003084|003
480019507003085|003
480019507003086|003
480019507003087|003
480019507003088|003
480019507003089|003
480019508001000|003
480019508001001|003
480019508001002|003
480019508001003|003
480019508001004|003
480019508001005|003
480019508001006|003
480019508001007|003
480019508001008|003
480019508001009|003
480019508001010|003
480019508001011|003
480019508001012|003
480019508001013|003
480019508001014|003
480019508001015|003
480019508001016|003
480019508001017|003
480019508001018|003
480019508001019|003
480019508001020|003
480019508001021|003
480019508001022|003
480019508001023|003
480019508001024|003
480019508001025|003
480019508001026|003
480019508001027|003
480019508001028|003
480019508001029|003
480019508001030|003
480019508001031|003
480019508002000|003
480019508002001|003
480019508002002|003
480019508002003|003
480019508002004|003
480019508002005|003
480019508002006|003
480019508002007|003
480019508002008|003
480019508002009|003
480019508002010|003
480019508002011|003
480019508002012|003
480019508002013|003
480019508002014|003
480019508002015|003
480019508002016|003
480019508002017|003
480019508002018|003
480019508002019|003
480019508002020|003
480019508002021|003
480019508002022|003
480019508002023|003
480019508002024|003
480019508002025|003
480019508002026|003
480019508002027|003
