BLOCKID|PLACEFP
480019506003086|54708
480019506003087|54708
480019506003088|
480019506003089|
480019506004000|54708
480019506004001|54708
480019506004002|54708
480019506004003|54708
480019506004004|54708
480019506004005|54708
480019506004006|54708
480019506004007|54708
480019506004008|54708
480019506004009|54708
480019506004010|54708
480019506004011|54708
480019506004012|54708
480019506004013|54708
480019506004014|54708
480019506004015|54708
480019506004016|54708
480019506004017|54708
480019506004018|54708
480019506004019|
480019506004020|54708
480019506004021|54708
480019506004022|54708
480019506004023|54708
480019506004024|54708
480019506004025|
480019506004026|
480019506004027|54708
480019506004028|54708
480019506004029|54708
480019506004030|54708
480019506004031|54708
480019507001000|54708
480019507001001|54708
480019507001002|54708
480019507001003|54708
480019507001004|54708
480019507001005|54708
480019507001006|54708
480019507001007|54708
480019507001008|54708
480019507001009|54708
480019507001010|54708
480019507001011|54708
480019507001012|54708
480019507001013|54708
480019507001014|54708
480019507001015|54708
480019507001016|54708
480019507001017|54708
480019507001018|54708
480019507001019|54708
480019507001020|54708
480019507001021|54708
480019507001022|54708
480019507001023|54708
480019507001024|54708
480019507001025|54708
480019507001026|54708
480019507001027|54708
480019507001028|54708
480019507001029|54708
480019507001030|54708
480019507001031|54708
480019507001032|54708
480019507001033|54708
480019507001034|54708
480019507001035|54708
480019507001036|54708
480019507001037|54708
480019507001038|54708
480019507001039|54708
480019507001040|54708
480019507001041|54708
480019507001042|54708
480019507001043|54708
480019507001044|54708
480019507002000|54708
480019507002001|54708
480019507002002|54708
480019507002003|54708
480019507002004|54708
480019507002005|54708
480019507002006|54708
480019507002007|54708
480019507002008|54708
480019507002009|54708
480019507002010|54708
480019507002011|54708
480019507002012|54708
480019507002013|54708
480019507002014|54708
480019507002015|54708
480019507002016|54708
480019507002017|54708
480019507002018|54708
480019507002019|54708
480019507002020|54708
480019507002021|54708
480019507002022|54708
480019507002023|54708
480019507002024|54708
480019507002025|54708
480019507002026|54708
480019507002027|54708
480019507002028|54708
480019507002029|54708
480019507002030|54708
480019507002031|54708
480019507002032|54708
480019507002033|54708
480019507002034|54708
480019507002035|54708
480019507002036|54708
480019507002037|54708
480019507002038|54708
480019507002039|54708
480019507002040|54708
480019507002041|54708
480019507002042|54708
480019507002043|54708
480019507003000|54708
480019507003001|54708
480019507003002|54708
480019507003003|54708
480019507003004|54708
480019507003005|54708
480019507003006|54708
480019507003007|54708
480019507003008|54708
480019507003009|54708
480019507003010|54708
480019507003011|54708
480019507003012|54708
480019507003013|54708
480019507003014|54708
480019507003015|54708
480019507003016|54708
480019507003017|54708
480019507003018|54708
480019507003019|54708
480019507003020|54708
480019507003021|54708
480019507003022|54708
480019507003023|54708
480019507003024|54708
480019507003025|54708
480019507003026|54708
480019507003027|54708
480019507003028|54708
480019507003029|54708
480019507003030|54708
480019507003031|54708
480019507003032|54708
480019507003033|54708
480019507003034|54708
480019507003035|54708
480019507003036|54708
480019507003037|54708
480019507003038|54708
480019507003039|54708
480019507003040|54708
480019507003041|54708
480019507003042|54708
480019507003043|54708
480019507003044|54708
480019507003045|54708
480019507003046|54708
480019507003047|54708
480019507003048|54708
480019507003049|54708
480019507003050|54708
480019507003051|54708
480019507003052|54708
480019507003053|54708
480019507003054|54708
480019507003055|54708
480019507003056|54708
480019507003057|54708
480019507003058|54708
480019507003059|54708
480019507003060|54708
480019507003061|54708
480019507003062|54708
480019507003063|54708
480019507003064|54708
480019507003065|54708
480019507003066|54708
480019507003067|54708
480019507003068|54708
480019507003069|54708
480019507003070|54708
480019507003071|54708
480019507003072|54708
480019507003073|54708
480019507003074|54708
480019507003075|54708
480019507003076|54708
480019507003077|54708
480019507003078|54708
480019507003079|54708
480019507003080|54708
480019507003081|54708
480019507003082|54708
480019507003083|54708
480019507003084|54708
480019507003085|54708
480019507003086|54708
480019507003087|54708
480019507003088|54708
480019507003089|54708
480019508001000|54708
480019508001001|54708
480019508001002|54708
480019508001003|54708
480019508001004|54708
480019508001005|54708
480019508001006|54708
480019508001007|54708
480019508001008|54708
480019508001009|54708
480019508001010|54708
480019508001011|54708
480019508001012|54708
480019508001013|54708
480019508001014|54708
480019508001015|54708
480019508001016|54708
480019508001017|54708
480019508001018|54708
480019508001019|54708
480019508001020|54708
480019508001021|54708
480019508001022|54708
480019508001023|54708
480019508001024|54708
480019508001025|
480019508001026|
480019508001027|54708
480019508001028|54708
480019508001029|
480019508001030|54708
480019508001031|
480019508002000|54708
480019508002001|
480019508002002|54708
480019508002003|54708
480019508002004|54708
480019508002005|54708
480019508002006|54708
480019508002007|54708
480019508002008|54708
480019508002009|
480019508002010|
480019508002011|
480019508002012|
480019508002013|
480019508002014|54708
480019508002015|54708
480019508002016|54708
480019508002017|54708
480019508002018|54708
480019508002019|54708
480019508002020|54708
480019508002021|54708
480019508002022|54708
480019508002023|54708
480019508002024|54708
480019508002025|54708
480019508002026|54708
480019508002027|54708
480019508002028|54708
480019508002029|54708
480019508002030|54708
480019508002031|54708
480019508002032|54708
480019508002033|54708
480019508002034|54708
480019508002035|54708
480019508002036|
480019508002037|
480019508002038|
480019508002039|54708
480019508002040|
480019508002041|54708
480019508003000|54708
480019508003001|54708
480019508003002|54708
480019508003003|54708
480019508003004|54708
480019508003005|54708
480019508003006|54708
480019508003007|54708
480019508003008|54708
480019508003009|54708
480019508003010|54708
480019508003011|54708
480019508003012|54708
480019508003013|54708
480019508003014|54708
480019508003015|54708
480019508003016|54708
480019508003017|54708
480019508003018|54708
480019508003019|54708
480019508003020|54708
480019508003021|54708
480019508003022|54708
480019508003023|54708
480019508003024|54708
480019508003025|54708
480019508003026|54708
480019508003027|54708
480019508003028|54708
480019508003029|54708
480019508003030|54708
480019508003031|54708
480019508003032|54708
480019508003033|54708
480019508003034|54708
480019508003035|54708
480019508003036|54708
480019508003037|54708
480019508003038|54708
480019508003039|54708
480019508003040|54708
480019508003041|54708
480019508004000|54708
480019508004001|54708
480019508004002|54708
480019508004003|54708
480019508004004|54708
480019508004005|54708
480019508004006|54708
480019508004007|54708
480019508004008|54708
480019508004009|54708
480019508004010|54708
480019508004011|54708
480019508004012|54708
480019508004013|54708
480019508004014|54708
480019508004015|54708
480019508004016|54708
480019508004017|54708
480019508004018|54708
480019508004019|54708
480019508004020|54708
480019508004021|54708
480019508004022|54708
480019508004023|54708
480019508004024|54708
480019508004025|54708
480019508004026|54708
480019508004027|54708
480019508005000|54708
480019508005001|54708
480019508005002|54708
480019508005003|54708
480019508005004|54708
480019508005005|54708
480019508005006|54708
480019508005007|54708
480019508005008|54708
480019508005009|54708
480019508005010|54708
480019508005011|54708
480019508005012|54708
480019508005013|54708
480019508005014|54708
480019508005015|54708
480019508005016|54708
480019508005017|54708
480019508005018|54708
480019508005019|54708
480019508005020|54708
480019509011000|
480019509011001|
480019509011002|
480019509011003|
480019509011004|
480019509011005|
480019509011006|
480019509011007|
480019509011008|
480019509011009|
480019509011010|
480019509011011|
480019509011012|
480019509011013|54708
480019509011014|
480019509011015|54708
480019509011016|
480019509011017|
480019509011018|
480019509011019|
480019509011020|
480019509011021|
480019509011022|
480019509011023|
480019509011024|
480019509011025|
480019509011026|
480019509011027|
480019509011028|
480019509011029|
480019509011030|
480019509011031|
480019509011032|
480019509011033|
480019509011034|
480019509011035|
480019509011036|
480019509011037|
480019509011038|
480019509011039|
480019509011040|
480019509011041|
480019509011042|
480019509011043|
480019509011044|
480019509011045|
480019509011046|
480019509011047|
480019509011048|
480019509011049|
480019509011050|
480019509011051|
480019509011052|
480019509011053|
480019509011054|
480019509011055|
480019509011056|
480019509011057|
480019509011058|
480019509011059|
480019509011060|54708
480019509011061|54708
480019509011062|54708
480019509011063|54708
480019509011064|54708
480019509011065|54708
480019509011066|54708
480019509012000|54708
480019509012001|
480019509012002|
480019509012003|
480019509012004|
480019509012005|54708
480019509012006|
480019509012007|
480019509012008|
480019509012009|
480019509012010|
480019509012011|
480019509012012|
480019509012013|54708
480019509012014|54708
480019509012015|54708
480019509012016|
480019509012017|54708
480019509012018|
480019509012019|
480019509012020|
480019509012021|
480019509012022|
480019509012023|54708
480019509012024|54708
480019509012025|
480019509012026|
480019509012027|
480019509012028|
480019509012029|
480019509012030|
480019509012031|
480019509012032|
480019509012033|
480019509012034|
480019509012035|
480019509013000|
480019509013001|54708
480019509013002|
480019509013003|54708
480019509013004|54708
480019509013005|
480019509013006|
480019509013007|
480019509013008|
480019509013009|
480019509013010|
480019509013011|
480019509013012|
480019509013013|
480019509013014|
480019509013015|54708
480019509013016|54708
480019509013017|54708
480019509013018|54708
480019509013019|54708
480019509013020|
480019509013021|54708
480019509014000|
480019509014001|
480019509014002|
480019509014003|
480019509014004|
480019509014005|
480019509014006|
480019509014007|
480019509014008|
480019509014009|
480019509014010|
480019509014011|
480019509014012|
480019509014013|
480019509014014|
480019509014015|
480019509014016|
480019509014017|
480019509014018|
480019509014019|
480019509014020|
480019509014021|54708
480019509014022|54708
480019509014023|
480019509014024|54708
480019509014025|
480019509014026|
480019509014027|54708
480019509014028|
480019509014029|
480019509014030|
480019509014031|
480019509014032|
480019509014033|
480019509014034|
480019509014035|
480019509014036|
480019509014037|
480019509014038|
480019509014039|
480019509014040|
480019509014041|
480019509014042|
480019509014043|
480019509014044|
480019509014045|
480019509014046|
480019509014047|
480019509014048|
480019509014049|
480019509014050|
480019509014051|
480019509014052|
480019509014053|54708
480019509014054|
480019509014055|54708
480019509014056|54708
480019509014057|
480019509014058|
480019509014059|
480019509014060|
480019509014061|
480019509014062|
480019509014063|
480019509014064|
480019509014065|
480019509014066|
480019509014067|
480019509014068|
480019509014069|
480019509014070|
480019509014071|
480019509014072|
480019509014073|
480019509014074|54708
480019509014075|
480019509021000|
480019509021001|
480019509021002|
480019509021003|
480019509021004|
480019509021005|
480019509021006|
480019509021007|
480019509021008|
480019509021009|
480019509021010|
480019509021011|
480019509021012|
480019509021013|
480019509021014|
480019509021015|
480019509021016|
480019509021017|
480019509021018|
480019509021019|
480019509021020|
480019509021021|
480019509021022|
480019509021023|
480019509021024|
