BLOCKID|DISTRICT
480019501003028|008
480019501003029|008
480019501003030|008
480019501003031|008
480019501003032|008
480019501003033|008
480019501003034|008
480019501003035|008
480019501003036|008
480019501003037|008
480019501003038|008
480019501003039|008
480019501003040|008
480019501003041|008
480019501003042|008
480019501003043|008
480019501003044|008
480019501003045|008
480019501003046|008
480019501003047|008
480019501003048|008
480019501003049|008
480019501003050|008
480019501003051|008
480019501003052|008
480019501003053|008
480019501003054|008
480019501003055|008
480019501003056|008
480019501003057|008
480019501003058|008
480019501003059|008
480019501003060|008
480019501003061|008
480019501003062|008
480019501003063|008
480019501003064|008
480019501003065|008
480019501003066|008
480019501003067|008
480019501003068|008
480019501003069|008
480019501003070|008
480019501003071|008
480019501003072|008
480019501003073|008
480019501003074|008
480019501003075|008
480019501003076|008
480019501003077|008
480019501003078|008
480019501003079|008
480019501003080|008
480019501003081|008
480019501003082|008
480019501003083|008
480019501003084|008
480019501003085|008
480019501003086|008
480019501003087|008
480019501003088|008
480019501003089|008
480019501003090|008
480019504011000|008
480019504011001|008
480019504011002|008
480019504011003|008
480019504011004|008
480019504011005|008
480019504011006|008
480019504011007|008
480019504011008|008
480019504011009|008
480019504011010|008
480019504011011|008
480019504011012|008
480019504011013|008
480019504011014|008
480019504011015|008
480019504011016|008
480019504011017|008
480019504011018|008
480019504011019|008
480019504011020|008
480019504021000|008
480019504021001|008
480019504021002|008
480019504021003|008
480019504021004|008
480019504021005|008
480019504021006|008
480019504021007|008
480019504021008|008
480019504021009|008
480019504021010|008
480019504021011|008
480019504021012|008
480019504021013|008
480019504021014|008
480019504021015|008
480019504021016|008
480019504021017|008
480019504021018|008
480019504021019|008
480019504021020|008
480019504021021|008
480019504021022|008
480019504021023|008
480019504021024|008
480019504021025|008
480019504021026|008
480019504021027|008
480019504021028|008
480019504021029|008
480019504021030|008
480019504021031|008
480019504021032|008
480019504021033|008
480019504021034|008
480019504021035|008
480019504021036|008
480019505001000|008
480019505001001|008
480019505001002|008
480019505001003|008
480019505001004|008
480019505001005|008
480019505001006|008
480019505001007|008
480019505001008|008
480019505001009|008
480019505001010|008
480019505001011|008
480019505001012|008
480019505001013|008
480019505001014|008
480019505001015|008
480019505001016|008
480019505001017|008
480019505001018|008
480019505001019|008
480019505001020|008
480019505001021|008
480019505001022|008
480019505001023|008
480019505001024|008
480019505001025|008
480019505001026|008
480019505001027|008
480019505001028|008
480019505001029|008
480019505001030|008
480019505001031|008
480019505001032|008
480019505001033|008
480019505001034|008
480019505002000|008
480019505002001|008
480019505002002|008
480019505002003|008
