BLOCKID|DISTRICT
480019506003005|34050
480019506003006|34050
480019506003007|34050
480019506003008|34050
480019506003009|34050
480019506003010|34050
480019506003011|34050
480019506003012|34050
480019506003013|34050
480019506003014|34050
480019506003015|34050
480019506003016|34050
480019506003017|34050
480019506003018|34050
480019506003019|34050
480019506003020|34050
480019506003021|34050
480019506003022|34050
480019506003023|34050
480019506003024|34050
480019506003025|34050
480019506003026|34050
480019506003027|34050
480019506003028|34050
480019506003029|34050
480019506003030|34050
480019506003031|34050
480019506003032|34050
480019506003033|34050
480019506003034|34050
480019506003035|34050
480019506003036|43290
480019506003037|43290
480019506003038|34050
480019506003039|43290
480019506003040|43290
480019506003041|43290
480019506003042|34050
480019506003043|34050
480019506003044|34050
480019506003045|43290
480019506003046|43290
480019506003047|43290
480019506003048|43290
480019506003049|43290
480019506003050|43290
480019506003051|43290
480019506003052|43290
480019506003053|43290
480019506003054|43290
480019506003055|43290
480019506003056|43290
480019506003057|43290
480019506003058|43290
480019506003059|43290
480019506003060|43290
480019506003061|43290
480019506003062|43290
480019506003063|34050
480019506003064|34050
480019506003065|34050
480019506003066|34050
480019506003067|34050
480019506003068|43290
480019506003069|43290
480019506003070|43290
480019506003071|43290
480019506003072|43290
480019506003073|43290
480019506003074|43290
480019506003075|34050
480019506003076|34050
480019506003077|34050
480019506003078|34050
480019506003079|34050
480019506003080|34050
480019506003081|34050
480019506003082|34050
480019506003083|43290
480019506003084|43290
480019506003085|43290
480019506003086|43290
480019506003087|43290
480019506003088|43290
480019506003089|43290
480019506004000|43290
480019506004001|43290
480019506004002|43290
480019506004003|43290
480019506004004|43290
480019506004005|43290
480019506004006|43290
480019506004007|43290
480019506004008|43290
480019506004009|43290
480019506004010|43290
480019506004011|43290
480019506004012|43290
480019506004013|43290
480019506004014|43290
480019506004015|43290
480019506004016|43290
480019506004017|43290
480019506004018|43290
480019506004019|43290
480019506004020|43290
480019506004021|43290
480019506004022|43290
480019506004023|34050
480019506004024|34050
480019506004025|43290
480019506004026|43290
480019506004027|43290
480019506004028|43290
480019506004029|43290
480019506004030|43290
480019506004031|43290
480019507001000|34050
480019507001001|34050
480019507001002|34050
480019507001003|34050
480019507001004|34050
480019507001005|34050
480019507001006|34050
480019507001007|34050
480019507001008|34050
480019507001009|34050
480019507001010|34050
480019507001011|34050
480019507001012|34050
480019507001013|34050
480019507001014|34050
480019507001015|34050
480019507001016|34050
480019507001017|34050
480019507001018|34050
480019507001019|34050
480019507001020|34050
480019507001021|34050
480019507001022|34050
