BLOCKID|COUNTYFP|DISTRICT
480019505003070|001|000007
480019505003071|001|000007
480019505003072|001|000020
480019505003073|001|000020
480019505003074|001|000020
480019505003075|001|000020
480019505003076|001|000020
480019505003077|001|000020
480019505003078|001|000008
480019505003079|001|000020
480019505003080|001|000020
480019505003081|001|000020
480019505003082|001|000007
480019505003083|001|000007
480019505004000|001|000021
480019505004001|001|000021
480019505004002|001|000021
480019505004003|001|000021
480019505004004|001|000021
480019505004005|001|000021
480019505004006|001|000020
480019505004007|001|000021
480019505004008|001|000020
480019505004009|001|000020
480019505004010|001|000020
480019505004011|001|000020
480019505004012|001|000020
480019505004013|001|000020
480019505004014|001|000020
480019505004015|001|000021
480019505004016|001|000020
480019505004017|001|000020
480019505004018|001|000020
480019505004019|001|000020
480019505004020|001|000020
480019505004021|001|000020
480019505004022|001|000007
480019505004023|001|000007
480019505004024|001|000007
480019505004025|001|000007
480019505004026|001|000020
480019505004027|001|000020
480019505004028|001|000020
480019505004029|001|000020
480019505004030|001|000020
480019505004031|001|000020
480019505004032|001|000020
480019505004033|001|000020
480019505004034|001|000020
480019505004035|001|000020
480019505004036|001|000020
480019505004037|001|000020
480019505004038|001|000007
480019505004039|001|000007
480019505004040|001|000020
480019505004041|001|000021
480019506001000|001|000020
480019506001001|001|000021
480019506001002|001|000021
480019506001003|001|000007
480019506001004|001|000021
480019506001005|001|000007
480019506001006|001|000007
480019506001007|001|000020
480019506001008|001|000007
480019506001009|001|000021
480019506001010|001|000021
480019506001011|001|000021
480019506001012|001|000007
480019506001013|001|000007
480019506001014|001|000007
480019506001015|001|000007
480019506001016|001|000021
480019506001017|001|000021
480019506001018|001|000021
480019506001019|001|000021
480019506001020|001|000021
480019506001021|001|000007
480019506001022|001|000021
480019506001023|001|000007
480019506001024|001|000007
480019506001025|001|000007
480019506001026|001|000007
480019506001027|001|000020
480019506001028|001|000007
480019506001029|001|000007
480019506001030|001|000007
480019506001031|001|000007
480019506001032|001|000020
480019506001033|001|000020
480019506001034|001|000020
480019506001035|001|000007
480019506001036|001|000020
480019506001037|001|000020
480019506001038|001|000020
480019506001039|001|000007
480019506001040|001|000007
480019506001041|001|000007
480019506001042|001|000007
480019506001043|001|000007
480019506001044|001|000007
480019506001045|001|000007
480019506001046|001|000007
480019506001047|001|000007
480019506001048|001|000007
480019506001049|001|000007
480019506001050|001|000007
480019506001051|001|000007
480019506001052|001|000007
480019506001053|001|000007
480019506001054|001|000007
480019506001055|001|000007
480019506001056|001|000007
480019506001057|001|000007
480019506001058|001|000007
480019506001059|001|000007
480019506001060|001|000007
480019506001061|001|000007
480019506001062|001|000007
480019506001063|001|000007
480019506001064|001|000007
480019506001065|001|000007
480019506001066|001|000007
480019506001067|001|000007
480019506001068|001|000007
480019506001069|001|000007
480019506001070|001|000007
480019506001071|001|000007
480019506001072|001|000007
480019506001073|001|000007
480019506001074|001|000007
480019506001075|001|000007
480019506001076|001|000020
480019506001077|001|000007
480019506001078|001|000007
480019506001079|001|000021
480019506002000|001|000019
480019506002001|001|000019
480019506002002|001|000019
480019506002003|001|000021
480019506002004|001|000019
480019506002005|001|000019
480019506002006|001|000019
480019506002007|001|000019
480019506002008|001|000019
480019506002009|001|000019
480019506002010|001|000021
480019506002011|001|000021
480019506002012|001|000021
480019506002013|001|000019
480019506002014|001|000019
480019506002015|001|000019
480019506002016|001|000019
480019506002017|001|000019
480019506002018|001|000019
480019506002019|001|000019
480019506002020|001|000019
480019506002021|001|000019
480019506002022|001|000019
480019506002023|001|000019
480019506002024|001|000019
480019506002025|001|000019
480019506002026|001|000019
480019506002027|001|000019
480019506002028|001|000019
480019506002029|001|000019
480019506002030|001|000019
480019506002031|001|000019
480019506002032|001|000019
480019506002033|001|000019
480019506002034|001|000019
480019506002035|001|000019
480019506002036|001|000019
480019506003000|001|000007
480019506003001|001|000007
480019506003002|001|000007
480019506003003|001|000007
480019506003004|001|000007
480019506003005|001|000007
480019506003006|001|000007
480019506003007|001|000007
480019506003008|001|000007
480019506003009|001|000007
480019506003010|001|000007
480019506003011|001|000007
480019506003012|001|000007
480019506003013|001|000007
480019506003014|001|000007
480019506003015|001|000007
480019506003016|001|000007
480019506003017|001|000007
480019506003018|001|000007
480019506003019|001|000007
480019506003020|001|000007
480019506003021|001|000007
480019506003022|001|000007
480019506003023|001|000007
480019506003024|001|000007
480019506003025|001|000007
480019506003026|001|000007
480019506003027|001|000007
480019506003028|001|000007
480019506003029|001|000007
480019506003030|001|000007
480019506003031|001|000007
480019506003032|001|000007
480019506003033|001|000007
480019506003034|001|000007
480019506003035|001|000007
480019506003036|001|000007
